condition,row_index,predicted_class,node_id,depth,is_leaf,feature,feature_group,transformed_value,operator,threshold
A_DECISION_TREE,113,3,14,7,True,,,,leaf,
A_DECISION_TREE,119,1,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
A_DECISION_TREE,119,1,1,1,False,talking,textual,0.0,<=,0.022087890654802322
A_DECISION_TREE,119,1,2,2,False,way,textual,0.0,<=,0.07509763911366463
A_DECISION_TREE,119,1,3,3,False,away,textual,0.0,<=,0.05768333934247494
A_DECISION_TREE,119,1,4,4,False,dopamine,textual,0.0,<=,0.07126924395561218
A_DECISION_TREE,119,1,5,5,False,adults,textual,0.0,<=,0.034870099276304245
A_DECISION_TREE,119,1,6,6,False,thing,textual,0.0,<=,0.0608743317425251
A_DECISION_TREE,119,1,7,7,True,,,,leaf,
A_DECISION_TREE,122,1,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
A_DECISION_TREE,122,1,1,1,False,talking,textual,0.0,<=,0.022087890654802322
A_DECISION_TREE,122,1,2,2,False,way,textual,0.0,<=,0.07509763911366463
A_DECISION_TREE,122,1,3,3,False,away,textual,0.0,<=,0.05768333934247494
A_DECISION_TREE,122,1,4,4,False,dopamine,textual,0.0,<=,0.07126924395561218
A_DECISION_TREE,122,1,5,5,False,adults,textual,0.0,<=,0.034870099276304245
A_DECISION_TREE,122,1,6,6,False,thing,textual,0.0,<=,0.0608743317425251
A_DECISION_TREE,122,1,7,7,True,,,,leaf,
A_DECISION_TREE,124,2,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
A_DECISION_TREE,124,2,1,1,False,talking,textual,0.0,<=,0.022087890654802322
A_DECISION_TREE,124,2,2,2,False,way,textual,0.15274322032928467,>,0.07509763911366463
A_DECISION_TREE,124,2,20,3,False,say,textual,0.0,<=,0.044601812958717346
A_DECISION_TREE,124,2,21,4,False,different,textual,0.0,<=,0.03894618898630142
A_DECISION_TREE,124,2,22,5,False,know,textual,0.0,<=,0.08323932439088821
A_DECISION_TREE,124,2,23,6,False,like,textual,0.04700660705566406,<=,0.1413813754916191
A_DECISION_TREE,124,2,24,7,True,,,,leaf,
A_DECISION_TREE,135,1,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
A_DECISION_TREE,135,1,1,1,False,talking,textual,0.0,<=,0.022087890654802322
A_DECISION_TREE,135,1,2,2,False,way,textual,0.0,<=,0.07509763911366463
A_DECISION_TREE,135,1,3,3,False,away,textual,0.0,<=,0.05768333934247494
