condition,row_index,predicted_class,node_id,depth,is_leaf,feature,feature_group,transformed_value,operator,threshold
C_DECISION_TREE,136,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,136,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,136,2,3,3,False,duration_sec,engagement_or_format,4.51085950651685,>,3.238486170768738
C_DECISION_TREE,136,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,136,2,6,5,True,,,,leaf,
C_DECISION_TREE,138,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,138,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,138,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,138,2,3,3,False,duration_sec,engagement_or_format,4.007333185232471,>,3.238486170768738
C_DECISION_TREE,138,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,138,2,6,5,True,,,,leaf,
C_DECISION_TREE,142,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,142,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,142,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,142,2,3,3,False,duration_sec,engagement_or_format,4.110873864173311,>,3.238486170768738
C_DECISION_TREE,142,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,142,2,6,5,True,,,,leaf,
C_DECISION_TREE,149,2,0,0,False,ve,textual,0.08510928167120617,<=,0.09965021163225174
C_DECISION_TREE,149,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,149,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,149,2,3,3,False,duration_sec,engagement_or_format,4.3694478524670215,>,3.238486170768738
C_DECISION_TREE,149,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,149,2,6,5,True,,,,leaf,
C_DECISION_TREE,160,4,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,160,4,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,160,4,2,2,False,body,textual,0.14082116592114888,>,0.11443183571100235
C_DECISION_TREE,160,4,8,3,False,like,textual,0.0,<=,0.027511145919561386
C_DECISION_TREE,160,4,9,4,False,different,textual,0.0,<=,0.04511382430791855
C_DECISION_TREE,160,4,10,5,True,,,,leaf,
C_DECISION_TREE,167,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,167,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,167,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,167,2,3,3,False,duration_sec,engagement_or_format,3.367295829986474,>,3.238486170768738
C_DECISION_TREE,167,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,167,2,6,5,True,,,,leaf,
C_DECISION_TREE,178,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,178,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,178,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,178,2,3,3,False,duration_sec,engagement_or_format,3.7376696182833684,>,3.238486170768738
C_DECISION_TREE,178,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,178,2,6,5,True,,,,leaf,
C_DECISION_TREE,180,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,180,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,180,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,180,2,3,3,False,duration_sec,engagement_or_format,3.784189633918261,>,3.238486170768738
C_DECISION_TREE,180,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,180,2,6,5,True,,,,leaf,
C_DECISION_TREE,182,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,182,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,182,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,182,2,3,3,False,duration_sec,engagement_or_format,3.4965075614664802,>,3.238486170768738
C_DECISION_TREE,182,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,182,2,6,5,True,,,,leaf,
C_DECISION_TREE,195,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,195,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,195,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,195,2,3,3,False,duration_sec,engagement_or_format,3.9889840465642745,>,3.238486170768738
C_DECISION_TREE,195,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,195,2,6,5,True,,,,leaf,
C_DECISION_TREE,205,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,205,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,205,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,205,2,3,3,False,duration_sec,engagement_or_format,3.8501476017100584,>,3.238486170768738
C_DECISION_TREE,205,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,205,2,6,5,True,,,,leaf,
C_DECISION_TREE,207,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,207,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,207,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,207,2,3,3,False,duration_sec,engagement_or_format,3.6375861597263857,>,3.238486170768738
C_DECISION_TREE,207,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,207,2,6,5,True,,,,leaf,
C_DECISION_TREE,215,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,215,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,215,2,2,2,False,body,textual,0.06962155030432722,<=,0.11443183571100235
C_DECISION_TREE,215,2,3,3,False,duration_sec,engagement_or_format,5.147494476813453,>,3.238486170768738
C_DECISION_TREE,215,2,5,4,False,type,textual,0.07794177059917368,<=,0.11887077242136002
C_DECISION_TREE,215,2,6,5,True,,,,leaf,
C_DECISION_TREE,219,4,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,219,4,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,219,4,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,219,4,3,3,False,duration_sec,engagement_or_format,4.276666119016055,>,3.238486170768738
C_DECISION_TREE,219,4,5,4,False,type,textual,0.16228084624433176,>,0.11887077242136002
C_DECISION_TREE,219,4,7,5,True,,,,leaf,
C_DECISION_TREE,224,4,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,224,4,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,224,4,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,224,4,3,3,False,duration_sec,engagement_or_format,2.833213344056216,<=,3.238486170768738
C_DECISION_TREE,224,4,4,4,True,,,,leaf,
C_DECISION_TREE,228,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,228,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,228,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,228,2,3,3,False,duration_sec,engagement_or_format,3.4657359027997265,>,3.238486170768738
C_DECISION_TREE,228,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,228,2,6,5,True,,,,leaf,
C_DECISION_TREE,229,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,229,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,229,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,229,2,3,3,False,duration_sec,engagement_or_format,3.713572066704308,>,3.238486170768738
C_DECISION_TREE,229,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,229,2,6,5,True,,,,leaf,
C_DECISION_TREE,230,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,230,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,230,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,230,2,3,3,False,duration_sec,engagement_or_format,4.454347296253507,>,3.238486170768738
C_DECISION_TREE,230,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,230,2,6,5,True,,,,leaf,
