row_index,label,certainty_score,hedge_score,likes_within_platform_percentile,comments_within_platform_percentile,views_within_platform_percentile,duration_sec_within_platform_percentile,record_id,platform,content_group
59,3,0.6666666666666666,2.0,0.91563785,0.9238683,0.8909465,0.3888889,youtube:000059,youtube,efa81e7898db30aee5d40546d9b6f73443cd14253459aeaa24c9c67660732bc9
60,1,0.5076142131979695,4.568527918781726,0.76748973,0.74691355,0.7386831,0.4218107,youtube:000060,youtube,cd9a3f18e969df8213f0ed5ebb71f81677d1ed535960b96dc6fe05ea57a05253
61,1,2.9761904761904763,5.654761904761905,0.06995885,0.100823045,0.1090535,0.8909465,youtube:000061,youtube,ab57096471b3cd3ffd01517e0e0cddf8996468ce7886a2e09ef11c8369750691
62,2,0.5714285714285714,0.0,0.9032922,0.8683128,0.9074074,0.46296296,youtube:000062,youtube,26b5c5edbddb572c9a12c5c7ac8fa9c467f84903cf5402c9a17aaa0e3ce5a027
63,3,2.0066889632107023,2.3411371237458196,0.31893003,0.30246913,0.22427984,0.87860084,youtube:000063,youtube,550d59250e432879d0801b3c600cfcd012e576aa257a4c546c9c2fe51f6fedc0
64,3,0.5681818181818182,0.5681818181818182,0.25925925,0.100823045,0.19958848,0.5781893,youtube:000064,youtube,927b641819d172277054ce2c7c33fc4b58ab47e04a0774181da93c8fadd6ae47
65,1,1.1111111111111112,1.1111111111111112,0.1399177,0.100823045,0.13374485,0.12139918,youtube:000065,youtube,426f35cb363d2f9fe32c48293783fe7829a95471734835f273f2d77154ddd3b3
66,1,3.3057851239669422,2.479338842975207,0.09670782,0.100823045,0.022633744,0.33333334,youtube:000066,youtube,40c96d4ff2a622ed02f17af7923d1a2e22cc633a16a85687bcf59e7b822c13f4
67,2,2.734375,3.125,0.97325104,0.9814815,0.9691358,0.82510287,youtube:000067,youtube,77d23dfbae100f86387753400e17e18172a4ee8a49c9ebf57fb74a8a6314859e
68,2,2.272727272727273,0.7575757575757576,0.09670782,0.100823045,0.08436214,0.7386831,youtube:000068,youtube,9693c82321c75aaeb8cf2971078df10f7bca78a8f4ef73d7635626ba572bf4d2
69,3,0.0,3.7037037037037037,0.718107,0.5555556,0.6522634,0.37242797,youtube:000069,youtube,3b434a5c47ccc0b7a6f9241a6ddfa7da45115b59f973df080112799924977369
