condition_a,condition_b,metric,mean_a_minus_b,sample_std_a_minus_b,minimum_a_minus_b,maximum_a_minus_b,condition_a_fold_wins,condition_b_fold_wins,ties,higher_is_better,inferential_test_performed
B_RIDGE,C_COMPLEMENT_NB,accuracy,-0.033365790327815635,0.056289566748995226,-0.1282051282051282,0.012658227848101222,1,3,1,True,False
B_RIDGE,C_COMPLEMENT_NB,weighted_f1,-0.009182280608901017,0.05569985798490407,-0.09805246170010451,0.03856225042572886,3,2,0,True,False
B_RIDGE,C_COMPLEMENT_NB,mean_absolute_error,0.06650438169425518,0.07561124896577164,-0.012820512820512775,0.17948717948717963,1,4,0,False,False
B_RIDGE,C_DECISION_TREE,quadratic_weighted_kappa,0.1382086346643774,0.12403849918477823,-0.03853632267954532,0.28218543359797726,4,1,0,True,False
B_RIDGE,C_DECISION_TREE,accuracy,0.10460889321648814,0.06995175094144557,0.0253164556962025,0.17948717948717952,5,0,0,True,False
B_RIDGE,C_DECISION_TREE,weighted_f1,0.1380516185527314,0.08854797197588007,0.021551991195892295,0.24652250491438396,5,0,0,True,False
B_RIDGE,C_DECISION_TREE,mean_absolute_error,-0.11295034079844204,0.18036151349291216,-0.34615384615384615,0.03797468354430389,2,2,1,False,False
B_RIDGE,D_FROZEN_MINILM,quadratic_weighted_kappa,-0.06855885610338316,0.08187289907807695,-0.15780508736786858,0.043764712951054496,1,4,0,True,False
B_RIDGE,D_FROZEN_MINILM,accuracy,-0.010288867250892574,0.07093483383997748,-0.1282051282051282,0.03846153846153849,3,2,0,True,False
B_RIDGE,D_FROZEN_MINILM,weighted_f1,-0.029834754233742287,0.0648384330309451,-0.13493813878429273,0.022671696572501066,3,2,0,True,False
B_RIDGE,D_FROZEN_MINILM,mean_absolute_error,0.09221032132424548,0.08942641214802369,-0.025316455696202333,0.21794871794871806,1,4,0,False,False
B_RIDGE,E_FINETUNED_BERT,quadratic_weighted_kappa,-0.06614006196649783,0.07621161143980246,-0.13091833732146235,0.05626624036518807,1,4,0,True,False
B_RIDGE,E_FINETUNED_BERT,accuracy,-0.03067185978578385,0.07452335501160155,-0.14102564102564097,0.0641025641025641,1,3,1,True,False
B_RIDGE,E_FINETUNED_BERT,weighted_f1,-0.017480571318562288,0.07045237122089376,-0.1205327281414238,0.0597353829227974,2,3,0,True,False
B_RIDGE,E_FINETUNED_BERT,mean_absolute_error,0.08961376176566056,0.11402903669873071,-0.08860759493670878,0.21794871794871806,1,4,0,False,False
B_RIDGE,BASELINE_MOST_FREQUENT,quadratic_weighted_kappa,0.36145713738099006,0.04857741428961037,0.3015179643988205,0.420602289143238,5,0,0,True,False
