class_label,feature,models_in_top_k,mean_reciprocal_rank,mean_absolute_weight,positive_model_count,negative_model_count,contributing_conditions
3,stuff,1,0.08333333333333333,6.57861451165785,1,0,C_COMPLEMENT_NB
3,eat,1,0.07692307692307693,6.543152408659429,1,0,C_COMPLEMENT_NB
3,foods,1,0.07142857142857142,6.536383707313849,1,0,C_COMPLEMENT_NB
3,happens,1,0.06666666666666667,6.535152466541881,1,0,C_COMPLEMENT_NB
3,adhd women,1,0.058823529411764705,6.525070296098279,1,0,C_COMPLEMENT_NB
3,body,1,0.05555555555555555,6.511968587685144,1,0,C_COMPLEMENT_NB
3,mind,1,0.05263157894736842,6.498710186075644,1,0,C_COMPLEMENT_NB
3,exercise,1,0.05,1.4810662288841026,0,1,C_LOGISTIC_REGRESSION
4,wrong,3,0.6666666666666666,3.539808054365307,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
4,friend,3,0.16825396825396824,2.9665768285537886,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
4,bad,3,0.1263227513227513,3.0916407838069304,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
4,psychiatrist,3,0.109006734006734,3.0631522910056446,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
4,energy,2,1.0,2.043598092687249,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
4,stop,2,0.3333333333333333,1.7865681268628246,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
4,physical,2,0.25,1.5728531573906857,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
4,ve,2,0.18333333333333335,1.4790515241870144,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
4,don,2,0.15000000000000002,1.3447107154624893,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
4,focus,2,0.14285714285714285,1.3969252080811079,0,2,C_LOGISTIC_REGRESSION|C_RIDGE
4,feel,2,0.12878787878787878,1.3531082413562898,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
4,medication,2,0.08391608391608392,1.2502861683304682,0,2,C_LOGISTIC_REGRESSION|C_RIDGE
4,body,2,0.08333333333333333,1.2012881588249458,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
4,great,2,0.08333333333333333,3.5260610480458543,2,0,C_COMPLEMENT_NB|C_RIDGE
4,things,2,0.07179487179487179,1.0677321925939698,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
4,adhd sep,2,0.06696428571428571,1.0428315520974858,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
4,pay,2,0.05964912280701754,3.48889388666462,2,0,C_COMPLEMENT_NB|C_RIDGE
4,just,2,0.05625,0.9421412515081269,0,2,C_LOGISTIC_REGRESSION|C_RIDGE
