condition_a,condition_b,metric,observed_a_minus_b,bootstrap_mean_a_minus_b,ci_low,ci_high,confidence_level,valid_resamples,higher_is_better
A_LOGISTIC_REGRESSION,B_COMPLEMENT_NB,accuracy,0.0,-0.0006939999999999996,-0.10000000000000003,0.10000000000000003,0.95,10000,True
A_LOGISTIC_REGRESSION,B_DECISION_TREE,accuracy,0.0,-0.00013199999999999966,-0.15999999999999998,0.15999999999999998,0.95,10000,True
A_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,accuracy,-0.03999999999999998,-0.040126,-0.14,0.06,0.95,10000,True
A_LOGISTIC_REGRESSION,C_RIDGE,accuracy,-0.020000000000000018,-0.020368,-0.10000000000000003,0.06,0.95,10000,True
A_LOGISTIC_REGRESSION,C_COMPLEMENT_NB,accuracy,-0.020000000000000018,-0.02041,-0.13999999999999999,0.09999999999999998,0.95,10000,True
A_LOGISTIC_REGRESSION,C_DECISION_TREE,accuracy,0.22,0.220072,0.07999999999999999,0.36000000000000004,0.95,10000,True
A_LOGISTIC_REGRESSION,D_FROZEN_MINILM,accuracy,-0.020000000000000018,-0.021144,-0.18,0.14,0.95,10000,True
A_LOGISTIC_REGRESSION,E_FINETUNED_BERT,accuracy,0.020000000000000018,0.019226,-0.15999999999999998,0.2,0.95,10000,True
A_LOGISTIC_REGRESSION,BASELINE_MOST_FREQUENT,accuracy,-0.020000000000000018,-0.020408000000000016,-0.14,0.12,0.95,10000,True
A_LOGISTIC_REGRESSION,BASELINE_STRATIFIED_RANDOM,accuracy,0.12,0.119968,-0.06,0.3,0.95,10000,True
A_RIDGE,A_COMPLEMENT_NB,accuracy,0.0,-0.0005019999999999997,-0.09999999999999998,0.09999999999999998,0.95,10000,True
A_RIDGE,A_DECISION_TREE,accuracy,0.08000000000000002,0.079748,-0.06,0.22000000000000003,0.95,10000,True
A_RIDGE,B_LOGISTIC_REGRESSION,accuracy,0.09999999999999998,0.099238,0.0,0.21999999999999997,0.95,10000,True
A_RIDGE,B_RIDGE,accuracy,0.15999999999999998,0.15905,0.020000000000000018,0.30000000000000004,0.95,10000,True
A_RIDGE,B_COMPLEMENT_NB,accuracy,0.06,0.05924000000000001,-0.03999999999999998,0.16000000000000003,0.95,10000,True
A_RIDGE,B_DECISION_TREE,accuracy,0.06,0.059802,-0.08000000000000002,0.20000000000000007,0.95,10000,True
