row_index,label,certainty_score,hedge_score,log1p_likes,log1p_comments,log1p_views,log1p_duration_sec
118,3,1.408450704225352,2.112676056338028,6.778784897685177,4.442651256490317,11.16129491949047,3.8066624897703196
119,4,1.3888888888888888,0.3472222222222222,5.676753802268282,2.5649493574615367,8.6278397115033,4.430816798843313
121,1,2.380952380952381,1.9841269841269842,8.793915423631676,5.602118820879701,11.483022803615915,4.1588830833596715
122,1,0.8,3.2,4.74493212836325,1.3862943611198906,8.864746660905409,3.6375861597263857
123,1,3.4722222222222223,2.7777777777777777,9.67363403969682,6.371611847231857,12.237924932229292,3.6109179126442243
125,3,0.7575757575757576,2.272727272727273,6.827629234502852,2.995732273553991,9.772068213669293,3.784189633918261
126,3,1.5873015873015872,1.0582010582010581,10.024598378285186,5.4510384535657,12.40081260708788,4.110873864173311
127,2,0.0,0.0,5.793013608384144,3.091042453358316,9.423595190540022,3.9318256327243257
128,2,0.411522633744856,4.11522633744856,6.363028103540465,3.2188758248682006,9.764225485202621,4.04305126783455
129,3,1.075268817204301,1.075268817204301,7.829630389150193,4.499809670330265,11.131035271890433,3.4011973816621555
130,1,0.0,0.5154639175257731,5.886104031450156,3.1354942159291497,8.998631198287637,4.454347296253507
131,1,0.5952380952380952,1.1904761904761905,10.114194083746655,5.572154032177765,12.363614710959906,4.04305126783455
132,2,0.0,0.0,9.161045080251306,4.983606621708336,12.482938937735474,4.0943445622221
133,2,1.675977653631285,1.1173184357541899,6.595780513961311,3.2188758248682006,9.608915129379593,4.875197323201151
134,1,0.7751937984496124,0.7751937984496124,6.858565034791365,4.394449154672439,10.34441632491986,3.6109179126442243
135,3,0.6097560975609756,3.048780487804878,8.845633256340186,5.288267030694535,11.521458950988468,3.9889840465642745
137,2,0.0,3.1746031746031744,6.504288173536645,4.406719247264253,10.947115532871479,3.58351893845611
139,1,0.0,0.0,5.929589143389895,1.6094379124341003,9.029897050194,4.007333185232471
140,3,0.0,0.0,6.883462586413092,3.6888794541139363,10.207731713286888,3.9889840465642745
143,1,1.3157894736842106,3.9473684210526314,4.189654742026425,1.3862943611198906,9.188605879830176,4.189654742026425
144,3,0.0,0.7518796992481203,4.859812404361672,1.3862943611198906,8.301273485191347,3.912023005428146
145,1,0.0,1.408450704225352,7.691200097522863,4.174387269895637,11.027280139734536,3.4011973816621555
146,3,0.704225352112676,0.352112676056338,5.342334251964811,1.9459101490553132,8.28349412616251,4.189654742026425
147,1,3.7383177570093458,1.8691588785046729,7.333676395657684,4.584967478670572,10.36567949988784,4.127134385045092
148,2,1.465201465201465,1.8315018315018314,4.465908118654584,2.6390573296152584,8.37216741936598,4.61512051684126
150,3,3.5714285714285716,0.5952380952380952,7.0967213784947605,3.4965075614664802,10.11843762882181,4.3694478524670215
151,3,0.7092198581560284,0.0,7.544861068658458,5.402677381872279,11.671201907834636,3.912023005428146
152,3,0.0,0.0,7.880804344674901,3.1354942159291497,12.372230944481709,3.6375861597263857
153,1,6.030150753768845,3.5175879396984926,3.044522437723423,0.6931471805599453,7.824046010856292,4.219507705176107
154,4,2.232142857142857,1.3392857142857142,6.444131256700441,4.31748811353631,8.672999642554437,4.875197323201151
155,4,4.444444444444445,1.4814814814814814,3.8918202981106265,1.0986122886681098,7.566311014772463,3.871201010907891
156,4,0.0,1.0309278350515463,7.0326242610280065,3.5553480614894135,10.233186904869912,3.5263605246161616
157,2,2.803738317757009,0.0,8.007034012193408,4.04305126783455,11.473238243018637,3.258096538021482
158,2,0.0,1.2820512820512822,6.721425700790643,3.58351893845611,10.252876014423887,4.060443010546419
159,1,0.0,0.0,6.3818160174060985,2.0794415416798357,9.012986392348266,3.784189633918261
161,1,1.0471204188481675,1.5706806282722514,5.075173815233827,0.0,8.452761331256848,3.912023005428146
162,1,1.6736401673640167,4.602510460251046,6.761572768804055,3.4657359027997265,9.457590998633625,4.330733340286331
163,3,1.1494252873563218,1.7241379310344827,3.044522437723423,1.0986122886681098,5.7899601708972535,4.127134385045092
164,1,2.097902097902098,0.6993006993006993,8.01565761455734,4.418840607796598,11.152687036498403,4.110873864173311
165,1,0.47393364928909953,3.3175355450236967,4.8283137373023015,2.0794415416798357,8.057694194815587,3.9889840465642745
166,1,2.094240837696335,1.5706806282722514,5.860786223465865,2.1972245773362196,9.855242239908133,4.007333185232471
168,1,1.7857142857142858,0.5952380952380952,5.375278407684165,1.0986122886681098,9.438829609615144,3.8501476017100584
169,2,0.684931506849315,2.0547945205479454,6.882437470997847,3.4339872044851463,10.311649022192036,4.07753744390572
170,1,3.6144578313253013,4.417670682730924,7.017506142941256,3.58351893845611,9.883794919190391,4.430816798843313
171,1,2.9702970297029703,1.9801980198019802,7.621195162809845,3.970291913552122,10.416161467159736,4.30406509320417
172,3,1.4285714285714286,5.238095238095238,6.977281341630747,3.091042453358316,9.743201422602786,5.049856007249537
173,3,1.8018018018018018,1.8018018018018018,11.7968705636251,8.886270902072013,14.228238560618562,4.110873864173311
174,2,0.44052863436123346,0.8810572687224669,7.00669522683704,3.9889840465642745,10.114396566181995,4.127134385045092
175,2,1.834862385321101,1.834862385321101,1.0986122886681098,0.0,4.919980925828125,3.9889840465642745
176,1,0.0,0.0,0.0,0.0,6.752270376141742,3.8918202981106265
177,1,2.542372881355932,4.237288135593221,8.72518249495877,5.1647859739235145,11.940047688897595,4.07753744390572
179,1,3.1746031746031744,4.232804232804233,3.367295829986474,1.6094379124341003,7.115582126184454,4.127134385045092
181,2,2.484472049689441,4.3478260869565215,3.713572066704308,0.0,7.171656822768514,4.110873864173311
183,1,1.1976047904191616,5.9880239520958085,2.772588722239781,0.0,7.532088143541722,4.143134726391533
184,1,0.5128205128205128,3.076923076923077,8.79133399330135,5.093750200806762,11.486756012388323,4.174387269895637
185,3,0.0,2.150537634408602,5.905361848054571,0.0,9.34425918954197,4.204692619390966
186,1,0.0,0.0,3.5553480614894135,2.302585092994046,6.90875477931522,3.8501476017100584
187,1,0.0,3.278688524590164,2.0794415416798357,0.0,5.877735781779639,4.07753744390572
188,1,0.9950248756218906,3.9800995024875623,0.0,0.6931471805599453,5.356586274672012,4.3694478524670215
189,3,3.8095238095238093,2.857142857142857,5.799092654460526,1.3862943611198906,9.33970057728189,3.4657359027997265
190,4,2.272727272727273,0.0,7.469654172932128,4.418840607796598,10.918482697282624,3.2188758248682006
191,1,0.0,2.0618556701030926,3.258096538021482,0.0,5.313205979041787,3.9512437185814275
192,1,1.7543859649122806,1.7543859649122806,0.0,3.970291913552122,10.589307957709613,3.7376696182833684
193,1,0.5,3.5,5.529429087511423,1.791759469228055,9.283776690049365,4.553876891600541
194,1,5.357142857142857,2.6785714285714284,4.77912349311153,0.6931471805599453,8.398634855292102,3.8918202981106265
196,1,1.3333333333333333,3.3333333333333335,6.902742737158593,0.0,10.435350335367918,4.110873864173311
197,2,0.0,0.0,6.5337888379333435,0.6931471805599453,10.719294745831961,4.23410650459726
199,3,1.7964071856287425,1.7964071856287425,8.545586265917455,5.2832037287379885,11.369609213515574,4.060443010546419
200,3,0.6622516556291391,5.298013245033113,8.105911197986508,4.248495242049359,10.981012388873753,3.828641396489095
201,3,1.8181818181818181,0.0,7.9294865233142895,4.04305126783455,11.738889036287684,3.58351893845611
202,1,0.0,2.684563758389262,2.4849066497880004,0.6931471805599453,6.021023349349527,4.110873864173311
203,1,0.8620689655172413,0.0,9.57983281962553,5.940171252720432,12.711880702334366,3.912023005428146
204,1,0.0,4.666666666666667,9.137662146478197,5.332718793265369,12.311657136103745,4.007333185232471
206,2,0.0,1.0309278350515463,3.091042453358316,0.0,6.692083742506628,3.258096538021482
208,1,2.6881720430107525,4.301075268817204,4.5217885770490405,2.1972245773362196,7.2633296174768365,3.9889840465642745
209,3,1.8018018018018018,0.45045045045045046,1.0986122886681098,0.0,5.442417710521793,4.110873864173311
