population,label,feature,count,mean,sample_std,minimum,q1,median,q3,maximum
training_only,2,hedge_score,41,2.298115302718617,2.1431057536210765,0.0,0.8810572687224669,1.910828025477707,3.0716723549488054,10.185185185185185
training_only,2,log1p_likes,41,6.068592247180593,2.9447300312681026,0.0,3.713572066704308,6.51471269087253,8.469472455204826,10.628036496235605
training_only,2,log1p_comments,41,3.170032116675418,2.332083042791678,0.0,0.6931471805599453,3.2188758248682006,4.465908118654584,8.633731007664188
training_only,2,log1p_views,41,9.684683842994401,2.4364516380246837,4.844187086458591,8.37216741936598,10.027782671807735,11.515552012572108,13.612141447274494
training_only,2,log1p_duration_sec,41,4.156666990109337,0.48090210490133617,3.258096538021482,3.9889840465642745,4.110873864173311,4.31748811353631,5.170483995038151
training_only,3,certainty_score,58,1.3939085836864822,1.0510697850436164,0.0,0.6727450797500234,1.2121657361151925,1.8349135527049638,3.8095238095238093
training_only,3,hedge_score,58,1.7868854525792326,1.2935854638559414,0.0,0.7607601681368776,1.7910607356715142,2.535822021116139,5.298013245033113
training_only,3,log1p_likes,58,6.8372642842473805,2.7713954376876555,0.0,5.072807894562818,7.037001360062754,8.591671988041384,12.102832103361967
training_only,3,log1p_comments,58,3.649514224731759,2.3390142081473857,0.0,1.9459101490553132,3.7711067315967015,5.2870012052053985,8.886270902072013
training_only,3,log1p_views,58,10.065789638902954,2.550640414887556,4.48863636973214,8.315797390449177,10.443404738099884,11.850712019246961,15.061747995706387
training_only,3,log1p_duration_sec,58,4.011899221614891,0.36235132014283716,3.295836866004329,3.8066624897703196,3.9889840465642745,4.127134385045092,5.099866427824199
training_only,4,certainty_score,16,2.048861090910283,1.5283940406582002,0.0,1.0416666666666665,2.09168118466899,2.8563933868360603,4.444444444444445
training_only,4,hedge_score,16,1.850874715573286,1.1240047894516008,0.0,1.2621962444771722,1.9172113289760349,2.6930048734101986,3.3333333333333335
training_only,4,log1p_likes,16,6.36591921621425,2.6595786567207473,1.6094379124341003,5.125955774791559,6.38000617748368,7.869521222214257,10.366812680153265
training_only,4,log1p_comments,16,3.6505001662952767,2.3790717381737965,0.0,2.046058693523705,3.461321945737944,5.5344195246574435,7.490529402060711
training_only,4,log1p_views,16,9.535512199793855,2.483738809610982,4.574710978503383,8.36245753732059,9.22197414642057,11.18691009992948,13.516725744222754
training_only,4,log1p_duration_sec,16,3.981103519927868,0.4862297324938145,3.2188758248682006,3.5188972838287413,4.0942056540395155,4.31748811353631,4.875197323201151
